name,description
Open Access Theses and Dissertations,"A bibliographic database indexing over 1.6 million electronic theses and dissertations and freely available online.<br />  The full text of all papers lives on the original hosting site, usually the repository of the university that granted the degree. <br />  <br />  Availability: Bibliographic citations linking to full-text<br />  Date Coverage: 1966 to present"
OpenEdition Freemium for Journals,"Bundle of 179 journals in the Humanities and Social Sciences, published by university presses and small academic publishers. About 80% of the publications are in French. Other main languages are English, Spanish, Italian and Portuguese. The journals are available in HTML, PDF and ePUB and allow for perpetual access.<br />  Availability: Full-text"
Orient le Jour (L'),"A digitized copy of L'Orient Le Jour newspaper (1925-2009).<br />  Availability: Full-text<br />  Note:L'Orient: from 1925 to April 31, 1971<br />  Le Jour: from May 5, 1965 to May 31, 1971<br />  L'Orient Le Jour: from June 15, 1971 to present<br />  Print Equivalent: L'Orient le Jour, Daily"
OSTI.gov (formerly SciTech Connect),"A portal to free, publicly-available R&D results including technical reports, bibliographic citations, journal articles, conference papers, books, patents, multimedia, software, and data information on science, technology, and engineering from the U.S. Department of Energy Office of Scientific and Technical Information (OSTI).<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: Varies"
Ovid Journals,"The database provides bibliographic citations to all journals indexed in Ovid Journals and full-text access to journals the library subscribes to. <br />  <br />  Subjects covered include Clinical Medicine, Behavioral & Social Sciences, Health Professions, Life and Biomedical Sciences, Nursing, and Pharmacology.<br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: All from v.1"
Oxford Academic,"A multidisciplinary online library containing academic books published by leading US and international university presses  such as American University in Cairo Press and Oxford University Press. Subject areas covered include humanities, social sciences, sciences, medicine, and law.<br />  <br />  Availability: Full-text <br />  Date Coverage: Complete collection until March 2022"
Oxford Art Online (9 simultaneous users ),"The gateway to Oxford’s art reference works, including Grove Dictionary of Art and the Benezit Dictionary of Artists. Provides 45,000 articles on fine arts, over 13,000 art images, and 21,000 biographies of artists, architects, etc. <br />  <br />  Availability : Full-text and images<br />  Date Coverage: Current<br />  Limitations: 9 simultaneous users"
Oxford Bibliographies Online: Islamic Studies,An authoritative research guide to selected resources in Islamic studies. The guide combines a selective annotated bibliography and a high-level encyclopedia. It provides expert guidance to the field in all its diversity and throughout its developmental stages. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: Varies
Oxford Classical Dictionary,"An essential reference work covering all aspects of the classical world from literature and history to religion, science, and archaeology. It provides coverage of Greek and Roman history, literature, myth, religion, law, linguistics, philosophy, science, art and archaeology, and topics in near eastern studies and late antiquity. <br />  <br />  Availability: Full-text <br />  Date Coverage: 2012"
Oxford Clinical Psychology,"Collection of full-text books in clinical psychology, covering a broad range of specialty areas, disorders, and treatment modalities. It includes both new and classic titles such as professional reference books, scholarly and research works, therapist guides, and workbooks in the renowned ""Treatments That Work"" series.<br />  <br />  Availability: Full-text<br />  Date Coverage: - - - -"
Oxford English Dictionary,"Provides access to all of the more than 500,000 entries in the latest edition of the Oxford English Dictionary and its supplements. This source also provides tools for fast searching of words by definition, by origin and history, by quotation, first cited use and more. <br />  <br />  Availability: Full-text<br />  Date Coverage: Current"
